ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,10,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:39:11+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,1,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:39:11+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,2,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:39:12+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,3,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:39:12+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,4,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:39:13+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,5,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:39:13+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,6,PASS,0.0,6000,0,2026-02-06T11:39:13+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,7,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:39:14+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,8,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:39:14+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,9,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:39:14+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,10,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:39:15+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,1,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:39:15+00:00
