ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
C/C++,libressl,c_libraries::libressl::libressl_rsa_2048_pkcs1v15_decrypt_constant_time,8,INCONCLUSIVE,0.0,3000,4,2026-02-05T22:09:39-03:00
C/C++,libressl,c_libraries::libressl::libressl_rsa_2048_pkcs1v15_decrypt_constant_time,9,INCONCLUSIVE,0.0,3000,4,2026-02-05T22:09:43-03:00
C/C++,libressl,c_libraries::libressl::libressl_rsa_2048_pkcs1v15_decrypt_constant_time,10,INCONCLUSIVE,0.0,3000,4,2026-02-05T22:09:47-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,1,PASS,0.5,6000,1,2026-02-05T22:09:48-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,2,PASS,0.4,6000,1,2026-02-05T22:09:49-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,3,PASS,0.3,6000,0,2026-02-05T22:09:49-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,4,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:09:50-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,5,PASS,0.4,6000,1,2026-02-05T22:09:51-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,6,PASS,0.4,6000,0,2026-02-05T22:09:51-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,7,PASS,0.1,6000,1,2026-02-05T22:09:52-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,8,PASS,0.1,6000,1,2026-02-05T22:09:53-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,9,PASS,0.8,6000,0,2026-02-05T22:09:53-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,10,PASS,1.1,6000,1,2026-02-05T22:09:54-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,1,PASS,2.7,6000,1,2026-02-05T22:09:55-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,2,PASS,1.9,6000,0,2026-02-05T22:09:55-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,3,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:09:56-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,4,PASS,0.4,6000,1,2026-02-05T22:09:57-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,5,PASS,0.4,6000,0,2026-02-05T22:09:57-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,6,PASS,0.2,6000,1,2026-02-05T22:09:58-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,7,PASS,1.1,6000,1,2026-02-05T22:09:59-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,8,PASS,1.7,6000,0,2026-02-05T22:09:59-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,9,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:00-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,10,PASS,1.8,6000,1,2026-02-05T22:10:01-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,1,PASS,0.0,6000,0,2026-02-05T22:10:01-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,2,PASS,0.1,6000,0,2026-02-05T22:10:01-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,3,PASS,0.0,6000,1,2026-02-05T22:10:02-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,4,PASS,0.0,6000,0,2026-02-05T22:10:02-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,5,PASS,0.1,6000,0,2026-02-05T22:10:02-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,6,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:02-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,7,PASS,0.0,6000,0,2026-02-05T22:10:03-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,8,PASS,0.0,6000,0,2026-02-05T22:10:03-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,9,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:03-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,10,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:10:04-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,1,INCONCLUSIVE,0.0,8000,0,2026-02-05T22:10:04-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,2,INCONCLUSIVE,0.0,7000,0,2026-02-05T22:10:04-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,3,PASS,0.0,6000,0,2026-02-05T22:10:04-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,4,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:10:05-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,5,PASS,0.0,6000,0,2026-02-05T22:10:05-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,6,PASS,0.0,6000,0,2026-02-05T22:10:05-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,7,PASS,0.0,6000,0,2026-02-05T22:10:05-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,8,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:06-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,9,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:06-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,10,PASS,0.0,6000,0,2026-02-05T22:10:06-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,1,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:10:07-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,2,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:07-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,3,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:10:08-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,4,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:08-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,5,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:08-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,6,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:10:09-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,7,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:09-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,8,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:10:10-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,9,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:10-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,10,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:10-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,1,PASS,0.4,6000,0,2026-02-05T22:10:11-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,2,PASS,1.4,6000,1,2026-02-05T22:10:12-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,3,PASS,1.2,6000,1,2026-02-05T22:10:13-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,4,PASS,0.5,6000,1,2026-02-05T22:10:14-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,5,PASS,10.0,7000,0,2026-02-05T22:10:14-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,6,PASS,0.2,6000,1,2026-02-05T22:10:15-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,7,PASS,1.1,6000,1,2026-02-05T22:10:16-03:00
