ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
C/C++,libressl,c_libraries::libressl::libressl_rsa_2048_pkcs1v15_decrypt_constant_time,8,INCONCLUSIVE,0.0,3000,4,2026-02-06T01:04:06-03:00
C/C++,libressl,c_libraries::libressl::libressl_rsa_2048_pkcs1v15_decrypt_constant_time,9,INCONCLUSIVE,0.0,3000,4,2026-02-06T01:04:10-03:00
C/C++,libressl,c_libraries::libressl::libressl_rsa_2048_pkcs1v15_decrypt_constant_time,10,INCONCLUSIVE,0.0,3000,4,2026-02-06T01:04:14-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,1,PASS,0.0,6000,0,2026-02-06T01:04:14-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,2,PASS,0.0,6000,1,2026-02-06T01:04:15-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,3,PASS,0.0,6000,1,2026-02-06T01:04:16-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,4,PASS,1.0,6000,0,2026-02-06T01:04:16-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,5,PASS,0.0,6000,1,2026-02-06T01:04:17-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,6,PASS,0.0,6000,0,2026-02-06T01:04:17-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,7,PASS,0.0,6000,1,2026-02-06T01:04:18-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,8,PASS,0.1,6000,0,2026-02-06T01:04:18-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,9,PASS,0.7,6000,1,2026-02-06T01:04:19-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_decrypt_constant_time,10,PASS,0.1,6000,1,2026-02-06T01:04:20-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,1,PASS,0.8,6000,0,2026-02-06T01:04:20-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,2,PASS,0.1,6000,1,2026-02-06T01:04:21-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,3,PASS,0.0,6000,0,2026-02-06T01:04:21-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,4,PASS,0.0,6000,1,2026-02-06T01:04:22-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,5,PASS,0.0,6000,0,2026-02-06T01:04:22-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,6,PASS,0.4,6000,1,2026-02-06T01:04:23-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,7,PASS,0.1,6000,1,2026-02-06T01:04:24-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,8,PASS,0.1,6000,0,2026-02-06T01:04:24-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,9,PASS,0.0,6000,1,2026-02-06T01:04:25-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_box_encrypt_constant_time,10,PASS,1.1,6000,0,2026-02-06T01:04:25-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,1,PASS,0.0,6000,0,2026-02-06T01:04:25-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,2,PASS,0.0,6000,1,2026-02-06T01:04:26-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,3,PASS,0.0,6000,0,2026-02-06T01:04:26-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,4,PASS,0.0,6000,0,2026-02-06T01:04:26-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,5,PASS,0.0,6000,0,2026-02-06T01:04:26-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,6,PASS,0.0,6000,0,2026-02-06T01:04:26-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,7,PASS,0.0,6000,1,2026-02-06T01:04:27-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,8,PASS,0.0,6000,0,2026-02-06T01:04:27-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,9,PASS,0.0,6000,0,2026-02-06T01:04:27-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_decrypt_constant_time,10,PASS,0.0,6000,0,2026-02-06T01:04:27-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,1,PASS,0.0,6000,0,2026-02-06T01:04:27-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,2,PASS,0.0,6000,1,2026-02-06T01:04:28-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,3,PASS,0.0,6000,0,2026-02-06T01:04:28-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,4,PASS,0.0,6000,0,2026-02-06T01:04:28-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,5,PASS,0.0,6000,0,2026-02-06T01:04:28-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,6,PASS,0.0,6000,0,2026-02-06T01:04:28-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,7,PASS,0.0,6000,0,2026-02-06T01:04:28-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,8,PASS,0.0,6000,1,2026-02-06T01:04:29-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,9,PASS,0.0,6000,0,2026-02-06T01:04:29-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_crypto_secretbox_encrypt_constant_time,10,PASS,0.0,6000,0,2026-02-06T01:04:29-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,1,PASS,0.0,6000,0,2026-02-06T01:04:29-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,2,PASS,0.0,6000,1,2026-02-06T01:04:30-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,3,PASS,0.8,6000,0,2026-02-06T01:04:30-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,4,PASS,0.0,6000,0,2026-02-06T01:04:30-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,5,PASS,0.0,6000,1,2026-02-06T01:04:31-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,6,PASS,0.8,6000,0,2026-02-06T01:04:31-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,7,PASS,0.0,6000,0,2026-02-06T01:04:31-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,8,PASS,0.0,6000,1,2026-02-06T01:04:32-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,9,PASS,0.0,6000,0,2026-02-06T01:04:32-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,10,PASS,0.0,6000,0,2026-02-06T01:04:32-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,1,PASS,2.4,6000,1,2026-02-06T01:04:33-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,2,PASS,0.1,6000,1,2026-02-06T01:04:34-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,3,PASS,0.4,6000,1,2026-02-06T01:04:35-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,4,PASS,1.1,6000,0,2026-02-06T01:04:35-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,5,PASS,0.2,6000,1,2026-02-06T01:04:36-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,6,PASS,0.1,6000,1,2026-02-06T01:04:37-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,7,PASS,0.5,6000,0,2026-02-06T01:04:37-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,8,PASS,4.4,6000,1,2026-02-06T01:04:38-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,9,PASS,0.1,6000,1,2026-02-06T01:04:39-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,10,PASS,0.1,6000,1,2026-02-06T01:04:40-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,1,PASS,0.0,6000,0,2026-02-06T01:04:40-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,2,PASS,0.0,6000,1,2026-02-06T01:04:41-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,3,PASS,0.6,6000,0,2026-02-06T01:04:41-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,4,PASS,0.0,6000,1,2026-02-06T01:04:42-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,5,PASS,0.1,6000,0,2026-02-06T01:04:42-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,6,PASS,0.0,6000,1,2026-02-06T01:04:43-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,7,PASS,0.0,6000,0,2026-02-06T01:04:43-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,8,PASS,0.0,6000,1,2026-02-06T01:04:44-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,9,PASS,0.0,6000,1,2026-02-06T01:04:45-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,10,PASS,0.0,6000,0,2026-02-06T01:04:45-03:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,1,PASS,0.0,6000,1,2026-02-06T01:04:46-03:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,2,PASS,1.1,6000,0,2026-02-06T01:04:46-03:00
